kepid,kepoi_name,kepler_name,koi_period,koi_time0bk,duration(days),koi_ldm_coeff2,koi_ldm_coeff1,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,FeH,FeH_err1,FeH_err2,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
3546060,K02126.01,Kepler-1110 b,9.69310837,134.53003,0.11392,0.1392,0.5856,1,4818,173,-173,4.639,0.059,-0.036,-0.68,0.3,-0.3,0.618,0.054,-0.054,0.607,0.067,-0.033,291.80801,38.6227,15.914,16.755,15.887,15.554,15.374,14.319,13.748,13.604
9351920,K02129.01,Kepler-1111 b,8.79618433,135.67645,0.14075,0.3024,0.3288,1,6142,147,-203,4.456,0.046,-0.184,0.07,0.25,-0.3,1.046,0.286,-0.102,1.143,0.13,-0.143,295.46338,45.81274,15.159,15.159,14.678,14.542,14.489,13.6,13.293,13.244
10549023,K02131.01,Kepler-1112 b,14.36270451,141.435,0.19017,0.3169,0.2751,1,6643,161,-221,4.357,0.069,-0.173,-0.1,0.25,-0.3,1.216,0.35,-0.15,1.235,0.156,-0.174,296.96881,47.751492,14.612,14.906,14.562,14.486,14.468,13.688,13.454,13.397
4254466,K02134.01,Kepler-1113 b,42.3006282,168.77783,0.18217,0.2602,0.4096,1,5852,70,-88,4.353,0.095,-0.116,0.14,0.15,-0.15,1.129,0.193,-0.119,1.048,0.074,-0.059,289.40671,39.33884,14.766,15.32,14.726,14.528,14.435,13.552,13.292,13.191
9364609,K02137.01,Kepler-1114 b,14.97436238,141.50057,0.10192,0.2075,0.49,1,5311,106,-106,4.532,0.055,-0.05,-0.18,0.15,-0.15,0.8,0.057,-0.057,0.796,0.052,-0.039,299.23694,45.834702,13.747,14.349,13.699,13.489,13.377,12.438,12.042,11.944
5022828,K02138.01,Kepler-1115 b,23.5541012,144.21486,0.30417,0.2915,0.2099,1,9565,302,-416,4.088,0.171,-0.209,0.07,0.15,-0.6,2.286,0.841,-0.688,2.335,0.366,-0.679,294.99176,40.144409,11.98,11.97,11.984,12.127,12.196,11.566,11.555,11.512
8233702,K02140.01,Kepler-1116 b,41.6977582,134.24608,0.22971,0.2676,0.3928,1,5730,153,-170,4.545,0.035,-0.184,-0.06,0.3,-0.3,0.87,0.234,-0.078,0.968,0.106,-0.116,291.93365,44.115501,15.265,15.801,15.198,15.035,14.935,13.974,13.646,13.482
11403339,K02143.01,Kepler-1117 b,4.79029482,134.95277,0.11341,0.2291,0.4603,1,5412,72,-80,4.562,0.017,-0.099,0.14,0.15,-0.15,0.843,0.086,-0.033,0.945,0.032,-0.069,292.08478,49.23748,14.102,14.64,14.046,13.872,13.81,12.867,12.512,12.463
8260902,K02144.01,Kepler-1118 b,38.6715843,157.61988,0.23050,0.2434,0.4341,1,5432,159,-159,4.42,0.147,-0.273,-0.16,0.3,-0.25,0.913,0.306,-0.141,0.801,0.124,-0.057,299.96567,44.160889,14.94,15.615,14.891,14.651,14.487,13.505,13.076,13.04
8381204,K02145.01,Kepler-1119 b,8.32651854,135.58655,0.22846,0.2889,0.3511,1,6057,189,-210,4.45,0.056,-0.224,-0.1,0.25,-0.3,1,0.33,-0.11,1.024,0.153,-0.126,297.01913,44.327518,15.06,15.563,15.018,14.844,14.764,13.864,13.54,13.456
7626506,K00150.01,Kepler-112 b,8.408878137,134.006366,0.14570,0.2665,0.398,1,5551,111,-111,4.508,0.077,-0.063,-0.42,0.15,-0.15,0.812,0.07,-0.07,0.776,0.058,-0.039,296.98102,43.209751,13.771,14.282,13.739,13.552,13.448,12.583,12.226,12.155
7626506,K00150.02,Kepler-112 c,28.5742692,143.8315,0.20595,0.2665,0.398,2,5551,111,-111,4.508,0.077,-0.063,-0.42,0.15,-0.15,0.812,0.07,-0.07,0.776,0.058,-0.039,296.98102,43.209751,13.771,14.282,13.739,13.552,13.448,12.583,12.226,12.155
